day,bm_unit,lead_party,mwh,cost_gbp
2026-08-29,T_LARYW-4,London Array Limited,30.3,5442.0
2026-08-29,T_MOWEO-1,Moray Offshore Wind East Ltd,390.2,8036.0
2026-08-29,T_MOWEO-2,Moray Offshore Wind East Ltd,355.8,7662.0
2026-08-29,T_MOWEO-3,Moray Offshore Wind East Ltd,591.8,11923.0
2026-08-29,T_SGRWO-1,Seagreen Wind Energy Limited,121.1,1676.0
2026-08-29,T_SGRWO-3,Seagreen Wind Energy Limited,16.9,233.0
2026-08-29,T_SGRWO-6,Seagreen Wind Energy Limited,141.3,1956.0
2026-08-29,T_VKNGW-1,Viking Energy Wind Farm LLP,203.4,2933.0
2026-08-29,T_VKNGW-2,Viking Energy Wind Farm LLP,221.4,3193.0
2026-08-29,T_VKNGW-3,Viking Energy Wind Farm LLP,177.0,2553.0
2026-08-29,T_VKNGW-4,Viking Energy Wind Farm LLP,231.3,3335.0
2026-08-31,C__PSTAT011,Statkraft Markets Gmbh,22.2,776.0
2026-08-31,E_BLARW-1,Erova Energy Limited,37.5,1041.0
2026-08-31,E_BTUIW-3,SP Renewables (UK) Limited,93.8,1030.0
2026-08-31,T_CUMHW-1,Uniper UK Limited,65.7,996.0
2026-08-31,T_DOUGW-1,Erova Energy Limited,38.2,1147.0
2026-08-31,T_GLNKW-1,EDF Energy Customers Limited,8.4,341.0
2026-08-31,T_GORDW-2,SSE Generation Ltd,45.5,712.0
2026-08-31,T_HALSW-1,SP Renewables (UK) Limited,43.0,494.0
2026-08-31,T_HOWBO-2,Sonningmay Wind Limited,8.0,0.0
2026-08-31,T_HOWBO-3,Soundmark Wind Limited,15.8,0.0
2026-08-31,T_KENNW-1,Kennoxhead Wind Farm Limited,54.1,1701.0
2026-08-31,T_KYPEW-1,Kype Extension Wind Farm Ltd,92.0,3220.0
2026-08-31,T_LIMKW-1,Limekiln Extension Ltd,144.4,4333.0
2026-08-31,T_MOWWO-1,Moray Offshore Wind West Ltd,71.3,1613.0
2026-08-31,T_MOWWO-2,Moray Offshore Wind West Ltd,24.7,626.0
2026-08-31,T_MOWWO-3,Moray Offshore Wind West Ltd,78.3,1751.0
2026-08-31,T_MOWWO-4,Moray Offshore Wind West Ltd,40.3,1479.0
2026-08-31,T_NOKYW-1,North Kyle Wind farm Ltd,102.1,1531.0
2026-08-31,T_NOKYW-2,North Kyle Wind farm Ltd,119.2,1786.0
2026-08-31,T_TWSHW-1,Twentyshilling Limited,54.1,1523.0
2026-08-31,T_VKNGW-1,Viking Energy Wind Farm LLP,91.0,1312.0
2026-08-31,T_VKNGW-2,Viking Energy Wind Farm LLP,56.6,816.0
2026-08-31,T_VKNGW-3,Viking Energy Wind Farm LLP,52.8,761.0
2026-08-31,T_VKNGW-4,Viking Energy Wind Farm LLP,68.4,987.0
2026-08-31,T_WDRGW-1,Windy Rig Wind Farm Limited,88.6,2543.0
2026-09-01,2__PSTAT001,Statkraft Markets Gmbh,110.9,10056.0
2026-09-01,C__PSTAT011,Statkraft Markets Gmbh,390.8,13680.0
